Date,Open,High,Low,Close,Volume
2026-01-01 09:15:00,100,102,98,100,10000
2026-01-01 09:20:00,98,100,96,98,11000
2026-01-01 09:25:00,96,98,94,96,12000
2026-01-01 09:30:00,94,96,92,94,13000
2026-01-01 09:35:00,92,94,90,92,14000
2026-01-01 09:40:00,90,92,88,90,15000
2026-01-01 09:45:00,88,90,86,88,16000
2026-01-01 09:50:00,86,88,84,86,17000
2026-01-01 09:55:00,84,86,82,84,18000
2026-01-01 10:00:00,82,84,80,82,19000
2026-01-01 10:05:00,84,86,82,84,20000
2026-01-01 10:10:00,88,90,86,88,21000
2026-01-01 10:15:00,94,96,92,94,22000
2026-01-01 10:20:00,100,102,98,100,23000
2026-01-01 10:25:00,106,108,104,106,24000
2026-01-01 10:30:00,112,114,110,112,25000
2026-01-01 10:35:00,118,120,116,118,26000
2026-01-01 10:40:00,124,126,122,124,27000
2026-01-01 10:45:00,130,132,128,130,28000
2026-01-01 10:50:00,136,138,134,136,29000
2026-01-01 10:55:00,130,132,128,130,30000
2026-01-01 11:00:00,124,126,122,124,31000
2026-01-01 11:05:00,118,120,116,118,32000
2026-01-01 11:10:00,112,114,110,112,33000
2026-01-01 11:15:00,106,108,104,106,34000
2026-01-01 11:20:00,100,102,98,100,35000
2026-01-01 11:25:00,94,96,92,94,36000
2026-01-01 11:30:00,88,90,86,88,37000
2026-01-01 11:35:00,82,84,80,82,38000
2026-01-01 11:40:00,76,78,74,76,39000
